STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Arkansas,2017,0,0,3,0,0,2,5,0,0,0,0,0,1,0,11
California,2017,14,12,7,11,4,7,6,8,9,6,18,2,1,1,106
Colorado,2017,2,0,1,9,0,2,5,1,0,2,7,0,1,0,30
Connecticut,2017,12,8,9,10,5,7,4,7,5,2,16,3,1,1,90
Delaware,2017,5,2,6,9,1,1,4,0,4,2,5,0,1,0,40
Florida,2017,1,1,1,0,1,8,3,0,3,2,1,0,0,0,21
Georgia,2017,0,0,1,0,0,1,4,0,0,0,0,0,0,0,6
Hawaii,2017,8,15,10,6,1,5,6,0,5,0,18,3,1,1,79
Idaho,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
Illinois,2017,5,6,7,9,3,6,5,0,3,2,16,1,1,1,65
Indiana,2017,1,0,0,0,0,3,4,0,0,1,3,0,0,0,12
Iowa,2017,0,4,1,3,2,2,5,0,2,0,4,0,0,1,24
Kansas,2017,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Kentucky,2017,0,0,1,0,0,1,5,0,0,0,0,0,0,0,7
Louisiana,2017,0,1,0,0,0,3,5,0,0,0,4,0,0,0,13
Maine,2017,2,0,4,0,0,1,0,0,0,0,3,0,1,0,11
Maryland,2017,7,9,7,6,3,3,5,5,7,2,8,0,1,1,64
Massachusetts,2017,14,10,8,7,6,9,5,4,11,5,17,3,1,1,101
Michigan,2017,6,3,1,3,0,2,5,0,1,0,0,0,0,0,21
Minnesota,2017,2,1,6,0,0,3,5,0,6,2,14,0,1,1,41
Mississippi,2017,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
Missouri,2017,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Montana,2017,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4
Nebraska,2017,0,3,1,2,0,3,5,0,0,1,3,2,1,1,22
Nevada,2017,0,0,5,6,1,2,5,0,0,0,2,0,0,0,21
New Hampshire,2017,1,0,0,0,0,0,0,0,3,0,5,0,0,0,9
New Jersey,2017,8,10,4,5,2,7,7,5,6,1,15,3,1,1,75
New Mexico,2017,0,0,1,0,0,3,4,0,0,0,0,0,1,1,10
New York,2017,5,7,7,8,2,6,6,8,2,2,16,3,1,1,74
North Carolina,2017,1,2,1,4,0,3,5,0,4,0,10,0,0,0,30
North Dakota,2017,0,0,5,0,0,2,0,0,0,2,0,0,1,0,10
Ohio,2017,0,3,3,0,0,1,5,0,0,2,1,0,1,0,16
Oklahoma,2017,0,1,1,0,0,2,4,0,0,0,1,0,0,0,9
Oregon,2017,9,2,5,10,0,1,4,0,0,0,2,0,1,1,35
Pennsylvania,2017,10,3,5,6,0,1,5,0,1,1,5,0,0,0,37
Rhode Island,2017,8,9,3,9,2,3,3,0,4,0,10,0,1,1,53
South Carolina,2017,0,0,3,0,0,5,4,0,0,0,0,0,0,0,12
South Dakota,2017,0,0,1,0,0,0,3,0,0,0,1,0,0,0,5
