STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Connecticut,1992,10,1,0,0,0,4,4,0,4,0,0,3,1,1,28
Delaware,1992,3,1,5,0,0,0,3,0,0,0,1,0,1,0,14
Florida,1992,1,0,1,0,0,7,3,0,3,2,0,0,1,1,19
Georgia,1992,2,1,1,0,0,4,2,0,0,0,0,3,1,1,15
Hawaii,1992,6,9,8,2,1,3,2,0,5,0,5,3,1,1,46
Idaho,1992,0,0,0,0,0,0,2,0,0,0,0,2,1,0,5
Illinois,1992,5,5,4,7,3,7,6,0,0,0,1,3,1,1,43
Indiana,1992,1,0,0,0,0,1,3,0,0,0,0,3,1,1,10
Iowa,1992,0,4,1,3,2,1,4,0,2,0,0,0,1,1,19
Kansas,1992,0,0,1,0,0,1,6,0,0,0,0,3,1,1,13
Kentucky,1992,0,0,1,0,0,0,6,0,0,0,0,0,1,0,8
Louisiana,1992,0,1,0,0,0,1,6,0,0,0,0,0,1,1,10
Maine,1992,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1992,4,1,3,0,0,2,5,0,6,0,0,0,1,1,23
Massachusetts,1992,12,7,5,6,5,6,4,0,0,5,1,3,1,1,56
Michigan,1992,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1992,1,1,4,0,0,1,6,0,0,0,0,0,1,1,15
Mississippi,1992,0,0,1,0,0,2,3,0,0,0,0,0,1,1,8
Missouri,1992,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1992,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
Nebraska,1992,0,3,1,2,0,0,6,0,0,1,0,3,1,1,18
Nevada,1992,0,0,1,0,0,1,3,0,2,0,0,0,1,0,8
New Hampshire,1992,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1992,8,7,4,5,0,6,6,5,4,0,0,3,1,1,50
New Mexico,1992,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1992,4,5,5,1,1,5,6,0,0,0,2,3,1,1,34
North Carolina,1992,3,2,0,0,0,3,6,0,0,0,0,3,1,1,19
North Dakota,1992,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1992,0,3,2,0,0,1,6,0,0,2,0,3,1,1,19
Oklahoma,1992,0,1,1,0,0,1,6,0,0,0,0,0,1,1,11
Oregon,1992,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1992,7,3,0,0,0,1,3,0,0,0,1,0,1,1,17
Rhode Island,1992,8,8,5,9,2,2,3,0,0,0,0,0,1,1,39
South Carolina,1992,4,2,1,0,0,6,6,0,0,0,0,0,1,1,21
South Dakota,1992,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1992,1,2,0,0,0,7,6,0,0,0,0,0,1,1,18
Texas,1992,0,1,0,0,0,5,5,0,0,0,0,0,1,1,13
Utah,1992,0,0,0,0,0,5,6,0,0,0,0,0,1,1,13
Vermont,1992,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1992,1,1,1,0,0,1,4,0,0,2,0,0,1,1,12
Washington,1992,4,1,3,0,0,0,2,0,0,0,0,0,1,0,11
West Virginia,1992,1,0,6,0,0,0,2,0,0,0,0,0,1,1,11
Wisconsin,1992,0,2,1,0,0,2,6,0,2,0,0,3,1,1,18
Wyoming,1992,0,0,0,0,0,0,2,0,0,0,0,3,1,1,7
Alabama,1993,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1993,0,1,1,0,0,1,6,0,0,0,0,0,1,1,11
Arizona,1993,0,0,3,0,0,2,6,0,0,0,0,0,1,1,13
Arkansas,1993,0,0,3,0,0,3,6,0,0,0,1,0,1,0,14
California,1993,12,5,7,11,0,4,5,4,4,0,2,2,1,0,57
Colorado,1993,1,0,0,0,0,1,2,0,0,0,0,3,1,1,9
Connecticut,1993,11,1,0,0,0,4,4,3,4,2,0,3,1,1,34
Delaware,1993,3,1,5,0,0,0,3,0,0,0,1,0,1,0,14
Florida,1993,1,0,1,0,0,7,3,0,3,2,0,0,1,1,19
Georgia,1993,2,1,1,0,0,4,2,0,0,0,0,3,1,1,15
Hawaii,1993,6,9,8,2,1,3,2,0,5,0,8,3,1,1,49
Idaho,1993,0,0,0,0,0,0,2,0,0,0,0,2,1,0,5
Illinois,1993,5,5,4,7,3,7,6,0,0,0,2,3,1,1,44
Indiana,1993,1,0,0,0,0,1,3,0,0,0,0,3,1,1,10
Iowa,1993,0,4,1,3,2,1,4,0,2,0,0,0,1,1,19
Kansas,1993,0,0,1,0,0,1,6,0,0,0,0,3,1,1,13
Kentucky,1993,0,0,1,0,0,0,6,0,0,0,0,0,1,0,8
Louisiana,1993,0,1,0,0,0,3,6,0,0,0,0,0,1,1,12
Maine,1993,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1993,4,1,3,0,0,2,5,0,6,0,1,0,1,1,24
Massachusetts,1993,12,7,5,6,5,6,4,0,0,5,1,3,1,1,56
Michigan,1993,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1993,2,1,4,0,0,3,6,0,4,0,0,0,1,1,22
Mississippi,1993,0,0,1,0,0,2,3,0,0,0,0,0,1,1,8
Missouri,1993,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1993,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
Nebraska,1993,0,3,1,2,0,0,6,0,0,1,0,3,1,1,18
Nevada,1993,0,0,1,0,0,1,3,0,2,0,0,0,1,0,8
New Hampshire,1993,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1993,8,7,4,5,0,6,6,5,4,0,1,3,1,1,51
New Mexico,1993,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1993,4,5,5,1,1,5,6,0,0,0,2,3,1,1,34
North Carolina,1993,3,2,0,0,0,3,6,0,4,0,0,3,1,1,23
North Dakota,1993,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1993,0,3,2,0,0,1,6,0,0,2,0,3,1,1,19
Oklahoma,1993,0,1,1,0,0,1,6,0,0,0,1,0,1,1,12
Oregon,1993,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1993,7,3,0,0,0,1,3,0,0,0,1,0,1,1,17
Rhode Island,1993,8,8,5,9,2,2,3,0,0,0,0,0,1,1,39
South Carolina,1993,4,2,1,0,0,6,6,0,0,0,0,0,1,1,21
South Dakota,1993,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1993,1,2,0,0,0,7,6,0,0,0,0,0,1,1,18
Texas,1993,0,1,0,0,0,5,5,0,0,0,0,0,1,0,12
Utah,1993,0,0,0,0,0,5,6,0,0,0,0,0,1,1,13
Vermont,1993,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1993,1,2,1,0,0,1,4,0,0,2,0,0,1,1,13
Washington,1993,4,1,3,0,0,1,2,0,0,0,0,0,1,0,12
West Virginia,1993,1,0,6,0,0,0,2,0,0,0,0,0,1,1,11
Wisconsin,1993,0,2,1,0,0,2,6,0,2,0,0,3,1,1,18
Wyoming,1993,0,0,0,0,0,0,2,0,0,0,0,3,1,1,7
Alabama,1994,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1994,0,1,1,0,0,1,3,0,0,0,0,0,1,1,8
Arizona,1994,0,0,4,0,0,1,4,0,0,0,0,0,1,1,11
Arkansas,1994,0,0,3,0,0,3,6,0,0,0,1,0,1,0,14
California,1994,13,7,7,11,2,4,6,4,4,5,3,2,1,0,69
Colorado,1994,1,0,1,0,0,1,2,0,0,0,0,3,1,1,10
Connecticut,1994,11,2,5,6,0,5,4,4,4,2,9,3,1,1,57
Delaware,1994,3,1,5,0,0,0,3,0,4,2,1,0,1,0,20
Florida,1994,1,1,1,0,0,8,3,0,3,2,0,0,1,1,21
Georgia,1994,2,0,1,0,0,4,2,0,0,0,0,3,1,1,14
Hawaii,1994,8,14,8,2,1,5,3,0,5,0,11,3,1,1,62
Idaho,1994,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1994,5,5,4,7,3,7,6,0,0,0,2,3,1,1,44
Indiana,1994,1,0,1,0,0,2,4,0,0,0,0,0,1,1,10
Iowa,1994,0,4,1,3,2,1,4,0,2,0,0,0,1,1,19
Kansas,1994,0,0,1,0,0,1,6,0,0,0,1,3,1,1,14
Kentucky,1994,0,0,1,0,0,1,6,0,0,0,0,0,1,0,9
Louisiana,1994,0,1,0,0,0,3,6,0,0,0,0,0,1,1,12
Maine,1994,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1994,4,1,3,0,0,2,5,1,6,0,1,0,1,1,25
Massachusetts,1994,12,7,5,6,5,6,4,0,0,5,12,3,1,1,67
Michigan,1994,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1994,2,1,5,0,0,3,6,0,4,0,0,0,1,1,23
Mississippi,1994,0,0,1,0,0,4,3,0,0,0,0,0,1,1,10
Missouri,1994,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1994,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
Nebraska,1994,0,3,1,2,0,3,6,0,0,1,0,3,1,1,21
Nevada,1994,0,0,1,0,0,1,3,0,2,0,0,0,1,0,8
New Hampshire,1994,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1994,8,7,4,5,0,6,6,5,4,0,1,3,1,1,51
New Mexico,1994,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1994,4,5,5,1,1,5,6,0,0,0,2,3,1,1,34
North Carolina,1994,3,2,1,0,0,3,6,0,4,0,0,3,1,1,24
North Dakota,1994,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1994,0,3,2,0,0,1,6,0,0,2,1,3,1,1,20
Oklahoma,1994,0,1,1,0,0,2,6,0,0,0,1,0,1,1,13
Oregon,1994,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1994,7,3,0,0,0,1,3,0,0,0,1,0,1,1,17
Rhode Island,1994,8,8,5,9,2,2,3,0,0,0,0,0,1,1,39
South Carolina,1994,4,2,1,0,0,6,6,0,0,0,0,0,1,1,21
South Dakota,1994,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1994,1,4,0,3,0,5,3,0,0,0,0,0,1,1,18
Texas,1994,0,1,1,0,0,5,5,0,0,0,0,0,1,0,13
Utah,1994,0,0,3,0,0,3,6,0,0,2,0,0,0,1,15
Vermont,1994,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1994,1,2,3,0,0,1,4,0,0,2,0,0,1,1,15
Washington,1994,5,0,7,0,1,2,4,0,0,0,8,0,1,0,28
West Virginia,1994,1,0,6,0,0,1,2,0,0,0,0,0,1,1,12
Wisconsin,1994,0,2,3,0,0,2,6,0,2,0,0,3,1,1,20
Wyoming,1994,0,0,0,0,0,3,3,0,0,0,0,3,1,1,11
Alabama,1995,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1995,0,1,1,0,0,1,3,0,0,0,0,0,1,1,8
Arizona,1995,0,0,4,0,0,1,4,0,0,0,1,0,1,1,12
Arkansas,1995,0,0,3,0,0,3,2,0,0,0,1,0,1,0,10
California,1995,13,7,7,11,2,4,6,4,4,5,3,2,1,0,69
Colorado,1995,1,0,1,0,0,1,2,0,0,0,1,3,1,1,11
Connecticut,1995,11,5,5,6,0,5,4,4,4,2,9,3,1,1,60
Delaware,1995,3,1,5,0,0,1,3,0,4,2,1,0,1,0,21
Florida,1995,1,1,1,0,0,8,3,0,3,2,0,0,1,1,21
Georgia,1995,2,0,1,0,0,4,2,0,0,0,0,0,1,0,10
Hawaii,1995,8,15,8,2,1,5,3,0,5,0,11,3,1,1,63
Idaho,1995,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1995,5,5,4,7,3,7,6,0,0,0,7,3,1,1,49
Indiana,1995,1,0,1,0,0,2,4,0,0,0,0,0,1,1,10
Iowa,1995,0,4,1,3,2,2,4,0,2,0,0,0,1,1,20
Kansas,1995,0,0,1,0,0,1,6,0,0,0,1,3,1,1,14
Kentucky,1995,0,0,1,0,0,1,6,0,0,0,0,0,1,0,9
Louisiana,1995,0,1,0,0,0,3,6,0,0,0,0,0,1,1,12
Maine,1995,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1995,4,1,3,0,0,2,5,1,6,0,1,0,1,1,25
Massachusetts,1995,12,7,5,6,5,6,4,0,0,5,12,3,1,1,67
Michigan,1995,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1995,2,1,6,0,0,3,6,0,4,0,5,0,1,1,29
Mississippi,1995,0,0,1,0,0,4,3,0,0,0,0,0,1,1,10
Missouri,1995,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1995,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4
Nebraska,1995,0,3,1,2,0,3,6,0,0,1,0,3,1,1,21
Nevada,1995,0,0,1,0,0,2,3,0,0,0,0,0,1,0,7
New Hampshire,1995,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1995,8,7,4,5,0,6,6,5,4,0,1,3,1,1,51
New Mexico,1995,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1995,4,5,5,1,1,5,6,0,0,0,2,3,1,1,34
North Carolina,1995,3,2,1,4,0,3,3,0,4,0,0,3,1,1,25
North Dakota,1995,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1995,0,3,2,0,0,1,6,0,0,2,1,3,1,1,20
Oklahoma,1995,0,1,1,0,0,2,4,0,0,0,1,0,1,1,11
Oregon,1995,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1995,9,3,5,0,0,1,3,0,0,0,2,0,1,1,25
Rhode Island,1995,8,8,5,9,2,2,3,0,3,0,0,0,1,1,42
South Carolina,1995,3,2,1,0,0,6,6,0,0,0,0,0,1,1,20
South Dakota,1995,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1995,1,4,0,3,0,5,3,0,0,0,1,0,1,1,19
Texas,1995,0,1,1,0,0,5,3,0,4,0,0,0,1,0,15
Utah,1995,0,0,3,0,0,3,4,0,0,2,1,0,0,1,14
Vermont,1995,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1995,1,2,3,0,0,1,3,0,0,2,0,0,1,1,14
Washington,1995,5,0,7,0,1,2,4,0,0,0,8,0,1,0,28
West Virginia,1995,1,0,6,0,0,1,2,0,0,0,0,0,1,1,12
Wisconsin,1995,0,2,3,0,0,2,6,0,2,0,0,0,1,1,17
Wyoming,1995,0,0,0,0,0,3,3,0,0,0,0,0,1,1,8
Alabama,1996,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1996,0,1,1,0,0,1,3,0,0,0,0,0,1,1,8
Arizona,1996,0,0,4,0,0,1,4,0,0,0,1,0,1,1,12
Arkansas,1996,0,0,3,0,0,3,2,0,0,0,1,0,1,0,10
California,1996,13,7,7,11,2,4,6,4,4,5,3,2,1,0,69
Colorado,1996,1,0,1,0,0,1,2,0,0,0,1,3,1,1,11
Connecticut,1996,11,5,5,6,0,5,4,4,4,2,9,3,1,1,60
Delaware,1996,3,1,5,0,0,1,3,0,4,2,1,0,1,0,21
Florida,1996,1,1,1,0,0,8,3,0,3,2,0,0,1,1,21
Georgia,1996,2,0,1,0,0,4,2,0,0,0,0,0,1,0,10
Hawaii,1996,8,15,8,2,1,5,3,0,5,0,11,3,1,1,63
Idaho,1996,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1996,5,5,5,7,3,7,6,0,0,0,7,3,1,1,50
Indiana,1996,1,0,1,0,0,2,4,0,0,0,1,0,1,1,11
Iowa,1996,0,4,1,3,2,2,4,0,2,0,0,0,1,1,20
Kansas,1996,0,0,1,0,0,1,6,0,0,0,1,3,1,1,14
Kentucky,1996,0,0,1,0,0,1,3,0,0,0,0,0,1,0,6
Louisiana,1996,0,1,0,0,0,3,4,0,0,0,0,0,1,1,10
Maine,1996,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1996,7,6,6,6,2,3,5,1,6,0,4,0,1,1,48
Massachusetts,1996,12,7,5,6,5,6,4,0,0,5,12,3,1,1,67
Michigan,1996,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1996,2,1,6,0,0,3,6,0,6,0,6,0,1,1,32
Mississippi,1996,0,0,1,0,0,4,3,0,0,0,0,0,1,1,10
Missouri,1996,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1996,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4
Nebraska,1996,0,3,1,2,0,3,6,0,0,1,0,3,1,1,21
Nevada,1996,0,0,1,0,0,2,3,0,0,0,0,0,1,0,7
New Hampshire,1996,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1996,8,7,4,5,0,6,6,5,4,0,1,3,1,1,51
New Mexico,1996,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1996,4,5,5,1,1,5,6,0,0,0,8,3,1,1,40
North Carolina,1996,3,2,1,4,0,3,3,0,4,0,0,0,1,1,22
North Dakota,1996,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1996,0,3,2,0,0,1,6,0,0,2,1,3,1,1,20
Oklahoma,1996,0,1,1,0,0,2,4,0,0,0,1,0,1,1,11
Oregon,1996,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1996,9,3,5,0,0,1,3,0,0,0,2,0,1,1,25
Rhode Island,1996,8,8,5,9,2,2,3,0,3,0,0,0,1,1,42
South Carolina,1996,3,2,1,0,0,6,4,0,0,0,0,0,1,1,18
South Dakota,1996,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1996,1,4,0,3,0,5,2,0,0,0,1,0,1,1,18
Texas,1996,0,1,1,0,0,5,3,0,4,0,0,0,1,0,15
Utah,1996,0,0,3,0,0,3,4,0,0,2,1,0,0,1,14
Vermont,1996,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1996,1,2,3,0,0,1,3,0,0,2,0,0,1,1,14
Washington,1996,5,0,4,0,1,2,4,0,0,0,7,0,1,0,24
West Virginia,1996,1,0,6,0,0,1,3,0,0,0,0,0,1,1,13
Wisconsin,1996,0,2,3,0,0,2,6,0,2,0,3,0,1,1,20
Wyoming,1996,0,0,0,0,0,3,3,0,0,0,0,0,1,1,8
Alabama,1997,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1997,0,1,1,0,0,1,3,0,0,0,0,0,1,1,8
Arizona,1997,0,0,4,0,0,1,4,0,0,0,1,0,1,1,12
Arkansas,1997,0,0,3,0,0,3,3,0,0,0,1,0,1,0,11
California,1997,13,7,7,11,3,4,6,4,4,5,3,2,1,0,70
Colorado,1997,1,0,1,0,0,1,2,0,0,0,1,3,1,1,11
Connecticut,1997,11,5,5,6,0,5,4,4,4,2,9,3,1,1,60
Delaware,1997,3,1,5,0,0,1,3,0,4,2,1,0,1,0,21
Florida,1997,1,1,1,0,0,8,3,0,3,2,0,0,1,1,21
Georgia,1997,2,0,1,0,0,4,3,0,0,0,0,0,1,0,11
Hawaii,1997,8,15,8,2,1,5,3,0,5,0,11,3,1,1,63
Idaho,1997,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1997,5,5,6,7,3,7,6,0,0,0,7,3,1,1,51
Indiana,1997,1,0,1,0,0,2,4,0,0,0,1,0,1,1,11
Iowa,1997,0,4,1,3,2,2,4,0,2,0,0,0,1,1,20
Kansas,1997,0,0,1,0,0,1,6,0,0,0,1,3,1,1,14
Kentucky,1997,0,0,1,0,0,1,3,0,0,0,0,0,1,0,6
Louisiana,1997,0,1,0,0,0,3,4,0,0,0,0,0,1,1,10
Maine,1997,2,0,2,0,0,1,2,0,0,0,1,0,1,1,10
Maryland,1997,7,6,6,6,2,3,5,1,6,0,4,0,1,1,48
Massachusetts,1997,12,7,5,6,5,6,4,0,0,5,12,3,1,1,67
Michigan,1997,6,6,1,3,0,1,6,0,0,0,0,0,1,1,25
Minnesota,1997,2,1,6,0,0,3,6,0,6,0,6,0,1,1,32
Mississippi,1997,0,0,1,0,0,4,3,0,0,0,0,0,1,1,10
Missouri,1997,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1997,0,0,0,0,0,1,2,0,0,0,1,0,1,0,5
Nebraska,1997,0,3,1,2,0,3,6,0,0,1,0,3,1,1,21
Nevada,1997,0,0,1,0,0,2,3,0,0,0,0,0,1,0,7
New Hampshire,1997,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1997,8,7,4,5,0,6,6,5,4,0,1,3,1,1,51
New Mexico,1997,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1997,4,5,5,1,1,5,6,0,0,0,8,3,1,1,40
North Carolina,1997,1,2,1,4,0,3,3,0,4,0,0,0,1,1,20
North Dakota,1997,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1997,0,3,2,0,0,1,6,0,0,2,1,3,1,1,20
Oklahoma,1997,0,1,1,0,0,2,4,0,0,0,1,0,1,1,11
Oregon,1997,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1997,10,3,5,6,0,1,3,0,0,0,2,0,1,1,32
Rhode Island,1997,8,9,5,9,2,2,3,0,3,0,0,0,1,1,43
South Carolina,1997,3,2,1,0,0,6,4,0,0,0,0,0,1,1,18
South Dakota,1997,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1997,1,4,0,3,0,5,3,0,0,0,1,0,1,1,19
Texas,1997,0,1,1,0,0,5,3,0,4,0,0,0,1,0,15
Utah,1997,0,0,3,0,0,3,3,0,0,2,1,0,0,1,13
Vermont,1997,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1997,1,2,3,0,0,1,4,0,0,2,0,0,1,1,15
Washington,1997,5,0,4,0,1,2,4,0,0,0,7,0,1,0,24
West Virginia,1997,1,0,6,0,0,1,3,0,0,0,0,0,1,1,13
Wisconsin,1997,0,2,3,0,0,2,6,0,2,0,3,0,1,1,20
Wyoming,1997,0,0,0,0,0,3,4,0,0,0,0,0,1,1,9
Alabama,1998,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1998,0,1,1,0,0,1,3,0,0,0,0,0,1,1,8
Arizona,1998,0,0,4,0,0,1,4,0,0,0,1,0,1,1,12
Arkansas,1998,0,0,3,0,0,3,3,0,0,0,1,0,1,0,11
California,1998,13,7,7,11,3,4,6,4,4,5,3,2,1,0,70
Colorado,1998,1,0,1,0,0,1,2,0,0,0,1,3,1,1,11
Connecticut,1998,11,5,5,7,0,5,4,4,5,2,9,3,1,1,62
Delaware,1998,3,1,5,0,1,1,3,0,4,2,1,0,1,0,22
Florida,1998,1,1,1,0,0,8,3,0,3,2,1,0,1,1,22
Georgia,1998,2,0,1,0,0,4,3,0,0,0,0,0,1,0,11
Hawaii,1998,8,15,8,2,1,5,3,0,5,0,11,3,1,1,63
Idaho,1998,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1998,5,5,6,7,3,7,7,0,0,0,9,3,1,1,54
Indiana,1998,1,0,1,0,0,2,4,0,0,0,1,0,1,1,11
Iowa,1998,0,4,1,3,2,2,4,0,2,0,0,0,1,1,20
Kansas,1998,0,0,1,0,0,1,7,0,0,0,1,3,1,1,15
Kentucky,1998,0,0,1,0,0,1,3,0,0,0,0,0,1,0,6
Louisiana,1998,0,1,0,0,0,3,4,0,0,0,0,0,1,1,10
Maine,1998,2,0,2,0,0,1,2,0,0,0,1,0,1,1,10
Maryland,1998,7,6,6,6,2,3,5,1,6,0,4,0,1,1,48
Massachusetts,1998,14,10,7,7,6,9,5,3,11,5,17,3,1,1,99
Michigan,1998,6,6,1,3,0,1,7,0,0,0,0,0,1,1,26
Minnesota,1998,2,1,6,0,0,3,6,0,6,0,6,0,1,1,32
Mississippi,1998,0,0,1,0,0,4,3,0,0,0,0,0,1,1,10
Missouri,1998,0,3,1,3,0,1,7,0,0,0,0,0,1,1,17
Montana,1998,0,0,0,0,0,1,2,0,0,0,1,0,1,0,5
Nebraska,1998,0,3,1,2,0,3,7,0,0,1,0,3,1,1,22
Nevada,1998,0,0,1,0,0,2,3,0,0,0,0,0,1,0,7
New Hampshire,1998,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1998,8,7,4,5,0,6,7,5,4,0,1,3,1,1,52
New Mexico,1998,0,0,1,0,0,1,7,0,0,0,0,0,1,1,11
New York,1998,4,5,6,1,1,5,6,0,0,0,8,3,1,1,41
North Carolina,1998,1,2,1,4,0,3,3,0,4,0,0,0,1,1,20
North Dakota,1998,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1998,0,3,2,0,0,1,7,0,0,2,1,3,1,1,21
Oklahoma,1998,0,1,1,0,0,2,4,0,0,0,1,0,1,1,11
Oregon,1998,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1998,10,3,5,6,0,1,5,0,0,0,2,0,1,1,34
Rhode Island,1998,8,9,5,9,2,2,3,0,3,0,0,0,1,1,43
South Carolina,1998,3,2,1,0,0,6,4,0,0,0,0,0,1,1,18
South Dakota,1998,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1998,4,1,0,0,0,5,3,0,0,0,1,0,1,1,16
Texas,1998,0,1,1,0,0,5,3,0,4,0,0,0,1,0,15
Utah,1998,0,0,3,0,0,3,3,0,0,2,1,0,0,1,13
Vermont,1998,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Virginia,1998,1,2,3,0,0,1,4,0,0,2,0,0,1,1,15
Washington,1998,5,0,4,0,1,2,4,0,0,0,7,0,1,0,24
West Virginia,1998,1,0,6,0,0,1,3,0,0,0,1,0,1,1,14
Wisconsin,1998,0,2,3,0,0,2,7,0,2,0,3,0,1,1,21
Wyoming,1998,0,0,0,0,0,3,4,0,0,0,0,0,1,1,9
Alabama,1999,7,1,1,0,0,0,3,0,0,0,1,1,1,1,16
Alaska,1999,0,1,1,0,0,1,3,0,0,0,0,0,1,0,7
Arizona,1999,0,0,4,0,0,1,4,0,0,0,1,0,1,0,11
Arkansas,1999,0,0,3,0,0,3,5,0,0,0,1,0,1,0,13
California,1999,13,8,7,11,3,4,6,4,4,5,3,2,1,0,71
Colorado,1999,1,0,1,0,0,1,2,0,0,0,1,3,1,1,11
Connecticut,1999,12,5,5,10,0,6,4,4,5,2,11,3,1,1,69
Delaware,1999,3,1,5,0,1,1,3,0,4,2,3,0,1,0,24
Florida,1999,1,1,1,0,0,8,3,0,3,2,1,0,1,1,22
Georgia,1999,2,0,1,0,0,4,3,0,0,0,0,0,1,0,11
Hawaii,1999,8,15,8,2,1,5,3,0,5,0,11,3,1,1,63
Idaho,1999,0,0,0,0,0,0,3,0,0,0,0,2,1,0,6
Illinois,1999,5,5,6,7,3,7,7,0,0,0,9,3,1,1,54
Indiana,1999,1,0,0,0,0,2,4,0,0,0,1,0,1,1,10
Iowa,1999,0,4,1,3,2,2,4,0,2,0,0,0,1,1,20
Kansas,1999,0,0,1,0,0,1,7,0,0,0,1,3,1,1,15
Kentucky,1999,0,0,1,0,0,1,3,0,0,0,0,0,1,0,6
