case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Accent Signage Systems shooting,2012-09-27,2012,September,Minneapolis,Minnesota,7,1,8,Workplace,Mass,36.0,White,44.977425,-93.310408,Minnesota,2012.0,2.0,1.0,6.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,31.0,2012.0,Minnesota,5313081.0,582335.0,37.4,207462.0,59126.0,30656.0,10.96,3.9
Sikh temple shooting,2012-05-08,2012,May,Oak Creek,Wisconsin,7,3,10,Other,Mass,40.0,White,42.8858503,-87.86313620000001,Wisconsin,2012.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,24.0,2012.0,Wisconsin,5687219.0,690832.0,38.5,230456.0,52627.0,27426.0,12.15,4.05
Aurora theater shooting,2012-07-20,2012,July,Aurora,Colorado,12,70,82,Other,Spree,24.0,White,39.706038,-104.820594,Colorado,2012.0,1.0,0.0,1.0,4.0,0.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,17.0,2012.0,Colorado,5042853.0,633878.0,36.1,218419.0,58244.0,31039.0,12.57,4.33
Seattle cafe shooting,2012-05-20,2012,May,Seattle,Washington,6,1,7,Other,Mass,40.0,White,47.6038321,-122.3300624,Washington,2012.0,5.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,25.0,2012.0,Washington,6738714.0,853960.0,37.2,309049.0,59374.0,30661.0,12.67,4.59
Oikos University killings,2012-02-04,2012,February,Oakland,California,7,3,10,School,Mass,43.0,Asian,37.8043808,-122.2708166,California,2012.0,14.0,9.0,7.0,11.0,4.0,4.0,6.0,7.0,7.0,5.0,17.0,2.0,1.0,1.0,95.0,2012.0,California,37325068.0,5590100.0,35.2,2059444.0,61400.0,29551.0,14.98,5.52
Su Jung Health Sauna shooting,2012-02-21,2012,February,Norcross,Georgia,5,0,5,Other,Mass,59.0,Asian,33.9412127,-84.2135309,Georgia,2012.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2012.0,Georgia,9714569.0,1645272.0,35.4,511530.0,49604.0,25309.0,16.94,5.27
Seal Beach shooting,2011-12-10,2011,December,Seal Beach,California,8,1,9,Other,Mass,42.0,White,33.741176,-118.1046356,California,2011.0,14.0,8.0,7.0,11.0,4.0,4.0,6.0,7.0,7.0,5.0,17.0,2.0,1.0,1.0,94.0,2011.0,California,36969200.0,5211481.0,35.1,1868871.0,61632.0,29634.0,14.1,5.06
IHOP shooting,2011-06-09,2011,June,Carson City,Nevada,5,7,12,Other,Mass,32.0,Latino,39.1637984,-119.7674034,Nevada,2011.0,0.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2011.0,Nevada,2673396.0,340903.0,36.1,145293.0,55553.0,27625.0,12.75,5.43
Tucson shooting,2011-08-01,2011,August,Tucson,Arizona,6,13,19,Other,Mass,22.0,White,32.335941,-110.975132,Arizona,2011.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2011.0,Arizona,6337373.0,1003575.0,35.7,268363.0,50752.0,25784.0,15.84,4.23
Hartford Beer Distributor shooting,2010-03-08,2010,March,Manchester,Connecticut,9,2,11,Workplace,Mass,34.0,Black,41.798764,-72.570068,Connecticut,2010.0,12.0,6.0,8.0,10.0,0.0,6.0,4.0,4.0,5.0,2.0,11.0,3.0,1.0,1.0,73.0,2010.0,Connecticut,3545837.0,314306.0,39.5,0.0,67740.0,36775.0,8.86,0.0
Coffee shop police killings,2009-11-29,2009,November,Parkland,Washington,4,1,5,Other,Mass,37.0,Black,47.15277,-122.467308,Washington,2009.0,5.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,24.0,2009.0,Washington,6465755.0,749120.0,36.8,0.0,56384.0,29320.0,11.59,0.0
Fort Hood massacre,2009-05-11,2009,May,Fort Hood,Texas,13,31,44,Other,Mass,39.0,Other,31.135557,-97.783664,Texas,2009.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,20.0,2009.0,Texas,23819042.0,3892532.0,33.0,0.0,48199.0,24318.0,16.34,0.0
Binghamton shootings,2009-03-04,2009,March,Binghamton,New York,14,4,18,Other,Mass,41.0,Asian,42.099802,-75.917723,New York,2009.0,4.0,7.0,6.0,5.0,2.0,6.0,6.0,4.0,2.0,3.0,13.0,3.0,1.0,1.0,63.0,2009.0,New York,19423896.0,2615897.0,37.7,0.0,55233.0,30634.0,13.47,0.0
Carthage nursing home shooting,2009-03-29,2009,March,Carthage,North Carolina,8,3,11,Other,Mass,45.0,White,35.33343400000001,-79.414592,North Carolina,2009.0,1.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,10.0,0.0,1.0,0.0,30.0,2009.0,North Carolina,9045705.0,1320816.0,36.6,0.0,45069.0,24547.0,14.6,0.0
Atlantis Plastics shooting,2008-06-25,2008,June,Henderson,Kentucky,6,1,7,Workplace,Spree,25.0,White,37.76721,-87.55737420000001,Kentucky,2008.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,
Northern Illinois University shooting,2008-02-14,2008,February,DeKalb,Illinois,5,21,26,School,Mass,27.0,White,41.9294736,-88.7503647,Illinois,2008.0,5.0,5.0,6.0,9.0,3.0,7.0,7.0,0.0,3.0,2.0,9.0,3.0,1.0,1.0,61.0,,,,,,,,,,
Kirkwood City Council shooting,2008-07-02,2008,July,Kirkwood,Missouri,6,2,8,Other,Mass,52.0,Black,38.580093,-90.40691,Missouri,2008.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,,,,,,,,,,
Westroads Mall shooting,2007-05-12,2007,May,Omaha,Nebraska,9,4,13,Other,Spree,19.0,White,41.265719,-96.067495,Nebraska,2007.0,0.0,3.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,21.0,,,,,,,,,,
Crandon shooting,2007-07-10,2007,July,Crandon,Wisconsin,6,1,7,Other,Mass,20.0,White,45.57190720000001,-88.9028922,Wisconsin,2007.0,0.0,2.0,3.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,24.0,,,,,,,,,,
Virginia Tech massacre,2007-04-16,2007,April,Blacksburg,Virginia,32,23,55,School,Mass,23.0,Asian,37.2295733,-80.4139393,Virginia,2007.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,,,,,,,,,,
Trolley Square shooting,2007-12-02,2007,December,Salt Lake City,Utah,6,4,10,Other,Mass,18.0,White,40.7606467,-111.89109,Utah,2007.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,,,,,,,,,,
Amish school shooting,2006-02-10,2006,February,Lancaster County,Pennsylvania,6,5,11,School,Mass,32.0,White,39.9589,-76.0806,Pennsylvania,2006.0,10.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,37.0,,,,,,,,,,
Capitol Hill massacre,2006-03-25,2006,March,Seattle,Washington,7,2,9,Other,Mass,28.0,White,47.6229,-122.3165,Washington,2006.0,5.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,24.0,,,,,,,,,,
Goleta postal shootings,2006-01-30,2006,January,Goleta,California,8,0,8,Workplace,Mass,44.0,White,34.425571000000005,-119.866069,California,2006.0,14.0,8.0,7.0,11.0,3.0,4.0,6.0,7.0,7.0,5.0,17.0,2.0,1.0,1.0,93.0,,,,,,,,,,
Red Lake massacre,2005-03-21,2005,March,Red Lake,Minnesota,10,5,15,School,Mass,16.0,Other,47.87634600000001,-95.0169401,Minnesota,2005.0,2.0,1.0,6.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,31.0,,,,,,,,,,
Living Church of God shooting,2005-12-03,2005,December,Brookfield,Wisconsin,7,4,11,Other,Spree,44.0,White,43.0605671,-88.1064787,Wisconsin,2005.0,0.0,2.0,3.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,24.0,,,,,,,,,,
Damageplan show shooting,2004-08-12,2004,August,Columbus,Ohio,5,7,12,Other,Mass,25.0,White,39.9622601,-83.00070649999998,Ohio,2004.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,18.0,,,,,,,,,,
Lockheed Martin shooting,2003-08-07,2003,August,Meridian,Mississippi,7,8,15,Workplace,Mass,48.0,White,32.410841999999995,-88.634539,Mississippi,2003.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,,,,,,,,,,
Navistar shooting,2001-05-02,2001,May,Melrose Park,Illinois,5,4,9,Workplace,Mass,66.0,Black,41.908163,-87.879908,Illinois,2001.0,5.0,5.0,6.0,7.0,3.0,7.0,7.0,0.0,2.0,2.0,9.0,3.0,1.0,1.0,58.0,,,,,,,,,,
Wakefield massacre,2000-12-26,2000,December,Wakefield,Massachusetts,7,0,7,Workplace,Mass,42.0,White,42.500429,-71.075913,Massachusetts,2000.0,14.0,10.0,8.0,7.0,6.0,9.0,5.0,4.0,11.0,5.0,17.0,3.0,1.0,1.0,101.0,,,,,,,,,,
Hotel shooting,1999-12-30,1999,December,Tampa,Florida,5,3,8,Workplace,Spree,36.0,Latino,27.966479,-82.57058599999998,Florida,1999.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,22.0,,,,,,,,,,
Xerox killings,1999-02-11,1999,February,Honolulu,Hawaii,7,0,7,Workplace,Spree,40.0,Asian,21.320063,-157.876462,Hawaii,1999.0,8.0,15.0,8.0,2.0,1.0,5.0,3.0,0.0,5.0,0.0,11.0,3.0,1.0,1.0,63.0,,,,,,,,,,
Wedgwood Baptist Church shooting,1999-09-15,1999,September,Fort Worth,Texas,8,7,15,Other,Mass,47.0,White,32.664511,-97.384246,Texas,1999.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,15.0,,,,,,,,,,
Atlanta day trading spree killings,1999-07-29,1999,July,Atlanta,Georgia,9,13,22,Workplace,Mass,44.0,White,33.850116,-84.377839,Georgia,1999.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,,,,,,,,,,
Columbine High School massacre,1999-04-20,1999,April,Littleton,Colorado,13,24,37,School,Mass,17.0,White,39.60403400000001,-105.074103,Colorado,1999.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,11.0,,,,,,,,,,
Thurston High School shooting,1998-05-21,1998,May,Springfield,Oregon,4,25,29,School,Mass,15.0,White,44.0462362,-123.0220289,Oregon,1998.0,3.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,,,,,,,,,,
Westside Middle School killings,1998-03-24,1998,March,Jonesboro,Arkansas,5,10,15,School,Mass,11.0,White,35.8209895,-90.6682606,Arkansas,1998.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,,,,,,,,,,
Connecticut Lottery shooting,1998-06-03,1998,June,Newington,Connecticut,5,1,6,Workplace,Mass,35.0,White,41.6856325,-72.72983827,Connecticut,1998.0,11.0,5.0,5.0,7.0,0.0,5.0,4.0,4.0,5.0,2.0,9.0,3.0,1.0,1.0,62.0,,,,,,,,,,
Caltrans maintenance yard shooting,1997-12-18,1997,December,Orange,California,5,2,7,Workplace,Spree,41.0,Latino,33.7877944,-117.8531119,California,1997.0,13.0,7.0,7.0,11.0,3.0,4.0,6.0,4.0,4.0,5.0,3.0,2.0,1.0,0.0,70.0,,,,,,,,,,
R.E. Phelon Company shooting,1997-09-15,1997,September,Aiken,South Carolina,4,3,7,Workplace,Mass,43.0,Black,33.5598586,-81.721952,South Carolina,1997.0,3.0,2.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,,,,,,,,,,
Fort Lauderdale revenge shooting,1996-09-02,1996,September,Fort Lauderdale,Florida,6,1,7,Workplace,Spree,41.0,Black,26.119269,-80.104119,Florida,1996.0,1.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,21.0,,,,,,,,,,
Walter Rossler Company massacre,1995-03-04,1995,March,Corpus Christi,Texas,6,0,6,Workplace,Mass,28.0,Other,27.828025,-97.548198,Texas,1995.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,15.0,,,,,,,,,,
Air Force base shooting,1994-06-20,1994,June,Fairchild Air Force Base,Washington,5,23,28,Other,Mass,20.0,White,47.61864486,-117.6483587,Washington,1994.0,5.0,0.0,7.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,28.0,,,,,,,,,,
Chuck E. Cheese's killings,1993-12-14,1993,December,Aurora,Colorado,4,1,5,Workplace,Mass,19.0,Black,39.675599,-104.844845,Colorado,1993.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,9.0,,,,,,,,,,
Long Island Rail Road massacre,1993-07-12,1993,July,Garden City,New York,6,19,25,Other,Spree,35.0,Black,40.7267682,-73.6342955,New York,1993.0,4.0,5.0,5.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,34.0,,,,,,,,,,
Luigi's shooting,1993-06-08,1993,June,Fayetteville,North Carolina,4,8,12,Other,Mass,22.0,White,35.0529931,-78.87870579999998,North Carolina,1993.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,23.0,,,,,,,,,,
101 California Street shootings,1993-01-07,1993,January,San Francisco,California,9,6,15,Other,Mass,55.0,White,37.792968,-122.397973,California,1993.0,12.0,5.0,7.0,11.0,0.0,4.0,5.0,4.0,4.0,0.0,2.0,2.0,1.0,0.0,57.0,,,,,,,,,,
Watkins Glen killings,1992-10-15,1992,October,Watkins Glen,New York,5,0,5,Other,Mass,50.0,White,42.3810555,-76.8705777,New York,1992.0,4.0,5.0,5.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,34.0,,,,,,,,,,
Lindhurst High School shooting,1992-01-05,1992,January,Olivehurst,California,4,10,14,School,Mass,20.0,White,39.07868761,-121.5475762,California,1992.0,12.0,5.0,7.0,11.0,0.0,4.0,5.0,4.0,4.0,0.0,2.0,2.0,1.0,0.0,57.0,,,,,,,,,,
Royal Oak postal shootings,1991-11-14,1991,November,Royal Oak,Michigan,5,5,10,Workplace,Mass,31.0,White,42.4894801,-83.1446485,Michigan,1991.0,6.0,6.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,,,,,,,,,,
University of Iowa shooting,1991-01-11,1991,January,Iowa City,Iowa,6,1,7,School,Spree,28.0,Asian,41.6606893,-91.5302214,Iowa,1991.0,0.0,4.0,1.0,3.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,19.0,,,,,,,,,,
Luby's massacre,1991-10-16,1991,October,Killeen,Texas,24,20,44,Other,Mass,35.0,White,31.1171194,-97.7277959,Texas,1991.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,,,,,,,,,,
GMAC massacre,1990-06-18,1990,June,Jacksonville,Florida,10,4,14,Other,Mass,42.0,Black,30.3321838,-81.655651,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Gravure shooting,1989-09-14,1989,September,Louisville,Kentucky,9,12,21,Workplace,Mass,47.0,White,38.2542376,-85.759407,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton schoolyard shooting,1989-01-17,1989,January,Stockton,California,6,29,35,School,Mass,26.0,White,37.9577016,-121.29077959999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESL shooting,1988-02-16,1988,February,Sunnyvale,California,7,4,11,Workplace,Mass,39.0,White,37.3688301,-122.0363496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopping centers spree killings,1987-04-23,1987,April,Palm Bay,Florida,6,14,20,Other,Spree,59.0,White,28.0331886,-80.64296949999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Postal Service shooting,1986-08-20,1986,August,Edmond,Oklahoma,15,6,21,Workplace,Mass,44.0,White,35.66720150000001,-97.42937037,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ysidro McDonald's massacre,1984-07-18,1984,July,San Ysidro,California,22,19,41,Other,Mass,41.0,White,32.5520013,-117.0430813,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas nightclub shooting,1984-06-29,1984,June,Dallas,Texas,6,1,7,Other,Mass,39.0,White,32.925166,-96.838676,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welding shop shooting,1982-08-20,1982,August,Miami,Florida,8,3,11,Other,Mass,51.0,White,25.796491,-80.226683,,,,,,,,,,,,,,,,,,,,,,,,,,,
