case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Dayton entertainment district shooting,2019-08-04,2019,August,Dayton,Ohio,9,27,36,Other,Mass,24.0,White,39.757312,-84.184947,Ohio,2019.0,0.0,3.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,2019.0,Ohio,11655397.0,1588343.0,39.4,314483.0,56602.0,31552.0,13.63,2.7
El Paso Walmart mass shooting,2019-08-03,2019,August,El Paso,Texas,22,26,48,Workplace,Mass,21.0,White,31.771068,-106.375655,Texas,2019.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,18.0,2019.0,Texas,28260856.0,4072194.0,34.6,708827.0,61874.0,31277.0,14.41,2.51
Gilroy garlic festival shooting,2019-07-28,2019,July,Gilroy,California,3,12,15,Other,Mass,19.0,Unknown,36.997191,-121.584819,California,2019.0,14.0,14.0,8.0,11.0,5.0,8.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,111.0,2019.0,California,39283497.0,5149742.0,36.5,1199233.0,75235.0,36955.0,13.11,3.05
Virginia Beach municipal building shooting,2019-05-31,2019,May,Virginia Beach,Virginia,12,4,16,Workplace,Mass,40.0,Black,36.75442,-76.060378,Virginia,2019.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,13.0,2019.0,Virginia,8454463.0,865691.0,38.2,200850.0,74222.0,39278.0,10.24,2.38
Harry Pratt Co. warehouse shooting,2019-02-15,2019,February,Aurora,Illinois,5,6,11,Workplace,Mass,45.0,Black,41.753725,-88.331057,Illinois,2019.0,7.0,6.0,7.0,9.0,3.0,8.0,5.0,0.0,3.0,2.0,16.0,1.0,1.0,1.0,69.0,2019.0,Illinois,12770631.0,1557873.0,38.1,394981.0,65886.0,36038.0,12.2,3.09
Pennsylvania hotel bar shooting,2019-01-24,2019,January,State College,Pennsylvania,3,1,4,Other,Spree,21.0,White,40.785142,-77.839411,Pennsylvania,2019.0,10.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,39.0,2019.0,Pennsylvania,12791530.0,1539183.0,40.8,347378.0,61744.0,34352.0,12.03,2.72
SunTrust bank shooting,2019-01-23,2019,January,Sebring,Florida,5,0,5,Workplace,Mass,21.0,White,27.471043,-81.45846999999998,Florida,2019.0,2.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,30.0,2019.0,Florida,20901636.0,2870487.0,42.0,561448.0,55660.0,31619.0,13.73,2.69
Mercy Hospital shooting,2018-11-19,2018,November,Chicago,Illinois,3,0,3,Workplace,Mass,32.0,Latino,41.847667,-87.62200899999998,Illinois,2018.0,5.0,6.0,7.0,9.0,3.0,6.0,5.0,0.0,3.0,2.0,16.0,1.0,1.0,1.0,65.0,2018.0,Illinois,12821497.0,1635603.0,37.9,437139.0,63575.0,34463.0,12.76,3.41
Thousand Oaks nightclub shooting,2018-11-07,2018,November,Thousand Oaks,California,12,22,34,Other,Mass,28.0,Unknown,34.176946,-118.874793,California,2018.0,14.0,12.0,8.0,11.0,5.0,8.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,109.0,2018.0,California,39148760.0,5487141.0,36.3,1321502.0,71228.0,35021.0,14.02,3.38
Tree of Life synagogue shooting,2018-10-27,2018,October,Pittsburgh,Pennsylvania,11,6,17,Other,Mass,46.0,White,40.443898,-79.921398,Pennsylvania,2018.0,10.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,37.0,2018.0,Pennsylvania,12791181.0,1578949.0,40.7,379765.0,59445.0,32889.0,12.34,2.97
